ID,Category,Question,Option1,Option2,Option3,Option4,Answer,Hint
q_7220,"Web Development","Which HTML tag is used to create a table?","{code}","<invalid>","<table>","[link]","<table>","HTML tags start with < and end with >."
q_7221,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","SSD","USB","NOT","NOT","Logic gates operate on TRUE/FALSE values."
q_7222,"Databases","In a database, what does the term 'Query' refer to?","A network protocol","A database structural element","A hardware port","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_7223,"Web Development","Which HTML tag is used to define a large heading?","<invalid>","{code}","<h1>","[link]","<h1>","HTML tags start with < and end with >."
q_7224,"Health/Security","Which of the following is a cyber security threat?","Virus","Antivirus","Backup","Firewall","Virus","Threats are malicious software or attacks."
q_7225,"ICT Applications","Which of the following is a common application of ICT in modern society?","Binary Logic","Pascal Syntax","CPU Architecture","E-Government","E-Government","Think about how technology helps society."
q_7226,"ICT Applications","Which of the following is a common application of ICT in modern society?","ATM","Pascal Syntax","CPU Architecture","Binary Logic","ATM","Think about how technology helps society."
q_7227,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Housing Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_7228,"Operating Systems","What is a primary function of an Operating System?","Memory Management","Photo Editing","Emailing","Web Browsing","Memory Management","Think about managing resources and maintenance."
q_7229,"ICT Applications","Which of the following is a common application of ICT in modern society?","CPU Architecture","Tele-medicine","Binary Logic","Pascal Syntax","Tele-medicine","Think about how technology helps society."
q_7230,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","System32","Login","Real","Real","It is part of Pascal language keywords."
q_7231,"Logic Gates","Which logic gate performs a Boolean logic operation?","NAND","SSD","BIOS","USB","NAND","Logic gates operate on TRUE/FALSE values."
q_7232,"ICT Applications","The term 'E-Learning' is associated with which field?","Networking","Data Representation","ICT Applications","Logic Gates","ICT Applications","Think about how technology helps society."
q_7233,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","BIOS","AND","USB","AND","Logic gates operate on TRUE/FALSE values."
q_7234,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Electronic Transactions Act","Traffic Act","Forest Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_7235,"Data Representation","Which standard is used for character encoding?","HTTP","HTML","EBCDIC","TCP/IP","EBCDIC","It maps characters to numbers."
q_7236,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_7237,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","Binary Logic","E-Learning","CPU Architecture","E-Learning","Think about how technology helps society."
q_7238,"Health/Security","Which of the following is a cyber security threat?","Backup","Spam","Firewall","Antivirus","Spam","Threats are malicious software or attacks."
q_7239,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","SSD","BIOS","NOT","NOT","Logic gates operate on TRUE/FALSE values."
q_7240,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Maintenance","Gaming","Data Entry","Maintenance","It is a step in building software."
q_7241,"Hardware","Find the Input Device from the list below:","Plotter","Monitor (LED/LCD)","MICR Device","Speaker","MICR Device","Input devices send data INTO the computer."
q_7242,"Networking","Which term is related to computer networking?","Monitor","Keyboard","Printer","TCP/IP","TCP/IP","It relates to connectivity or web addresses."
q_7243,"Hardware","Which generation of computers is associated with Microprocessors (4th Gen)?","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Input devices send data INTO the computer."
q_7244,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","WiFi","Login","Program","Program","It is part of Pascal language keywords."
q_7245,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","WiFi","While..Do","Login","System32","While..Do","It is part of Pascal language keywords."
q_7246,"Databases","In a database, what does the term 'Foreign Key' refer to?","A database structural element","A hardware port","A network protocol","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_7247,"Web Development","Which HTML tag is used to embed an image?","<invalid>","<img>","[link]","{code}","<img>","HTML tags start with < and end with >."
q_7248,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_7249,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_7250,"ICT Applications","Which of the following is a common application of ICT in modern society?","Binary Logic","Smart Agriculture","CPU Architecture","Pascal Syntax","Smart Agriculture","Think about how technology helps society."
q_7251,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Spam","Firewall","Backup","Spam","Threats are malicious software or attacks."
q_7252,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","BIOS","SSD","NAND","NAND","Logic gates operate on TRUE/FALSE values."
q_7253,"Data Representation","Which storage unit is valid and commonly used?","Pixel","Terabyte (TB)","Volt","Hertz","Terabyte (TB)","Think about file sizes (KB, MB, GB)."
q_7254,"ICT Applications","Which of the following is a common application of ICT in modern society?","CPU Architecture","E-Learning","Pascal Syntax","Binary Logic","E-Learning","Think about how technology helps society."
q_7255,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","BIOS","USB","OR","OR","Logic gates operate on TRUE/FALSE values."
q_7256,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","End","System32","Login","End","It is part of Pascal language keywords."
q_7257,"Web Development","Which HTML tag is used to insert a line break?","<invalid>","[link]","<br>","{code}","<br>","HTML tags start with < and end with >."
q_7258,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","System Design","Gaming","Data Entry","System Design","It is a step in building software."
q_7259,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Gaming","Printing","Implementation/Coding","Implementation/Coding","It is a step in building software."
q_7260,"Web Development","Which HTML tag is used to insert a line break?","[link]","<br>","<invalid>","{code}","<br>","HTML tags start with < and end with >."
q_7261,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","System32","WiFi","Var","Login","Var","It is part of Pascal language keywords."
q_7262,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Computer Crimes Act No. 24 of 2007","Forest Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_7263,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","NOT","SSD","USB","NOT","Logic gates operate on TRUE/FALSE values."
q_7264,"ICT Applications","The term 'Robotics in Industry' is associated with which field?","ICT Applications","Networking","Logic Gates","Data Representation","ICT Applications","Think about how technology helps society."
q_7265,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","WiFi","End","System32","End","It is part of Pascal language keywords."
q_7266,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Printing","Data Entry","Testing & Debugging","Testing & Debugging","It is a step in building software."
q_7267,"Data Representation","Which storage unit is valid and commonly used?","Byte","Pixel","Hertz","Volt","Byte","Think about file sizes (KB, MB, GB)."
q_7268,"Data Representation","Which standard is used for character encoding?","HTTP","TCP/IP","HTML","EBCDIC","EBCDIC","It maps characters to numbers."
q_7269,"Networking","Which term is related to computer networking?","Monitor","Cloud Computing","Keyboard","Printer","Cloud Computing","It relates to connectivity or web addresses."
q_7270,"Networking","Which term is related to computer networking?","Monitor","IP Address","Printer","Keyboard","IP Address","It relates to connectivity or web addresses."
q_7271,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Implementation/Coding","Gaming","Data Entry","Implementation/Coding","It is a step in building software."
q_7272,"ICT Applications","Which of the following is a common application of ICT in modern society?","CPU Architecture","Binary Logic","Pascal Syntax","E-Learning","E-Learning","Think about how technology helps society."
q_7273,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","SSD","BIOS","NOT","NOT","Logic gates operate on TRUE/FALSE values."
q_7274,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Hacking","Backup","Hacking","Threats are malicious software or attacks."
q_7275,"Operating Systems","What is a primary function of an Operating System?","Emailing","User Interface","Web Browsing","Photo Editing","User Interface","Think about managing resources and maintenance."
q_7276,"Data Representation","Which standard is used for character encoding?","TCP/IP","HTML","HTTP","EBCDIC","EBCDIC","It maps characters to numbers."
q_7277,"ICT Applications","Which of the following is a common application of ICT in modern society?","Online Banking","Pascal Syntax","Binary Logic","CPU Architecture","Online Banking","Think about how technology helps society."
q_7278,"Data Representation","Which standard is used for character encoding?","HTML","HTTP","TCP/IP","ASCII","ASCII","It maps characters to numbers."
q_7279,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","Printing","Deployment","Deployment","It is a step in building software."
q_7280,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_7281,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Printing","System Design","Data Entry","System Design","It is a step in building software."
q_7282,"Web Development","Which HTML tag is used to embed an image?","[link]","{code}","<img>","<invalid>","<img>","HTML tags start with < and end with >."
q_7283,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","SSD","NOR","USB","NOR","Logic gates operate on TRUE/FALSE values."
q_7284,"Networking","Which term is related to computer networking?","Printer","DNS","Keyboard","Monitor","DNS","It relates to connectivity or web addresses."
q_7285,"Health/Security","Which of the following is a cyber security threat?","Backup","Antivirus","Phishing","Firewall","Phishing","Threats are malicious software or attacks."
q_7286,"Health/Security","Which of the following is a cyber security threat?","Backup","Trojan Horse","Firewall","Antivirus","Trojan Horse","Threats are malicious software or attacks."
q_7287,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Deployment","Gaming","Data Entry","Deployment","It is a step in building software."
q_7288,"Databases","In a database, what does the term 'Query' refer to?","A database structural element","A web browser","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_7289,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","BIOS","SSD","NAND","NAND","Logic gates operate on TRUE/FALSE values."
q_7290,"Health/Security","Which of the following is a cyber security threat?","Firewall","Worm","Antivirus","Backup","Worm","Threats are malicious software or attacks."
q_7291,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Gaming","Deployment","Data Entry","Deployment","It is a step in building software."
q_7292,"Networking","Which term is related to computer networking?","Monitor","Printer","TCP/IP","Keyboard","TCP/IP","It relates to connectivity or web addresses."
q_7293,"Web Development","Which HTML tag is used to define the root of an HTML document?","<html>","[link]","{code}","<invalid>","<html>","HTML tags start with < and end with >."
q_7294,"Health/Security","Which of the following is a cyber security threat?","Firewall","Backup","Antivirus","Software Piracy","Software Piracy","Threats are malicious software or attacks."
q_7295,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Login","System32","WiFi","Boolean","Boolean","It is part of Pascal language keywords."
q_7296,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Housing Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_7297,"Data Representation","Which standard is used for character encoding?","HTTP","TCP/IP","ASCII","HTML","ASCII","It maps characters to numbers."
q_7298,"Operating Systems","Which utility software is essential for system maintenance?","Disk Defragmenter","Photoshop","MS Word","Chrome","Disk Defragmenter","Think about managing resources and maintenance."
q_7299,"Health/Security","Which of the following is a cyber security threat?","Backup","Antivirus","Spam","Firewall","Spam","Threats are malicious software or attacks."
q_7300,"Health/Security","Which of the following is a cyber security threat?","Firewall","Software Piracy","Antivirus","Backup","Software Piracy","Threats are malicious software or attacks."
q_7301,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Hacking","Firewall","Backup","Hacking","Threats are malicious software or attacks."
q_7302,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","BIOS","SSD","NOR","NOR","Logic gates operate on TRUE/FALSE values."
q_7303,"Health/Security","Which of the following is a cyber security threat?","Hacking","Antivirus","Firewall","Backup","Hacking","Threats are malicious software or attacks."
q_7304,"Networking","Which term is related to computer networking?","Printer","Monitor","Keyboard","URL","URL","It relates to connectivity or web addresses."
q_7305,"Operating Systems","Which utility software is essential for system maintenance?","Disk Formatting","MS Word","Chrome","Photoshop","Disk Formatting","Think about managing resources and maintenance."
q_7306,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Backup","Phishing","Phishing","Threats are malicious software or attacks."
q_7307,"Databases","In a database, what does the term 'Field' refer to?","A network protocol","A web browser","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_7308,"ICT Applications","The term 'E-Learning' is associated with which field?","ICT Applications","Networking","Logic Gates","Data Representation","ICT Applications","Think about how technology helps society."
q_7309,"Data Representation","Which storage unit is valid and commonly used?","Volt","Pixel","Hertz","Byte","Byte","Think about file sizes (KB, MB, GB)."
q_7310,"Networking","Which term is related to computer networking?","Printer","Cloud Computing","Monitor","Keyboard","Cloud Computing","It relates to connectivity or web addresses."
q_7311,"Databases","In a database, what does the term 'Report' refer to?","A web browser","A database structural element","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_7312,"Databases","In a database, what does the term 'Field' refer to?","A database structural element","A web browser","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_7313,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Computer Crimes Act No. 24 of 2007","Forest Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_7314,"ICT Applications","The term 'ATM' is associated with which field?","ICT Applications","Networking","Data Representation","Logic Gates","ICT Applications","Think about how technology helps society."
q_7315,"Networking","Which term is related to computer networking?","Client-Server","Keyboard","Monitor","Printer","Client-Server","It relates to connectivity or web addresses."
q_7316,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","BIOS","SSD","NOR","NOR","Logic gates operate on TRUE/FALSE values."
q_7317,"Web Development","Which HTML tag is used to insert a line break?","<br>","{code}","<invalid>","[link]","<br>","HTML tags start with < and end with >."
q_7318,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Backup","Worm","Worm","Threats are malicious software or attacks."
q_7319,"ICT Applications","Which of the following is a common application of ICT in modern society?","Binary Logic","Smart Agriculture","Pascal Syntax","CPU Architecture","Smart Agriculture","Think about how technology helps society."
q_7320,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Login","System32","WiFi","Var","Var","It is part of Pascal language keywords."
q_7321,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Gaming","Deployment","Printing","Deployment","It is a step in building software."
q_7322,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Software Piracy","Backup","Firewall","Software Piracy","Threats are malicious software or attacks."
q_7323,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","Emailing","Process Management","Web Browsing","Process Management","Think about managing resources and maintenance."
q_7324,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Deployment","Printing","Data Entry","Deployment","It is a step in building software."
q_7325,"Web Development","Which HTML tag is used to define the root of an HTML document?","[link]","<html>","{code}","<invalid>","<html>","HTML tags start with < and end with >."
q_7326,"Databases","In a database, what does the term 'Report' refer to?","A database structural element","A web browser","A hardware port","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_7327,"Health/Security","Which of the following is a cyber security threat?","Firewall","Spam","Backup","Antivirus","Spam","Threats are malicious software or attacks."
q_7328,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOR","SSD","USB","BIOS","NOR","Logic gates operate on TRUE/FALSE values."
q_7329,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Chrome","Disk Defragmenter","MS Word","Disk Defragmenter","Think about managing resources and maintenance."
q_7330,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","While..Do","WiFi","Login","System32","While..Do","It is part of Pascal language keywords."
q_7331,"Hardware","Find the Input Device from the list below:","Laser Printer","Microphone","Plotter","Speaker","Microphone","Input devices send data INTO the computer."
q_7332,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Gaming","Data Entry","Implementation/Coding","Implementation/Coding","It is a step in building software."
q_7333,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Deployment","Data Entry","Gaming","Deployment","It is a step in building software."
q_7334,"Databases","In a database, what does the term 'Form' refer to?","A hardware port","A database structural element","A network protocol","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_7335,"Web Development","Which HTML tag is used to define a large heading?","[link]","{code}","<h1>","<invalid>","<h1>","HTML tags start with < and end with >."
q_7336,"Web Development","Which HTML tag is used to define a large heading?","<invalid>","<h1>","[link]","{code}","<h1>","HTML tags start with < and end with >."
q_7337,"Web Development","Which HTML tag is used to define the document body?","{code}","<invalid>","<body>","[link]","<body>","HTML tags start with < and end with >."
q_7338,"ICT Applications","The term 'Smart Agriculture' is associated with which field?","Data Representation","Networking","Logic Gates","ICT Applications","ICT Applications","Think about how technology helps society."
q_7339,"Web Development","Which HTML tag is used to embed an image?","<invalid>","[link]","{code}","<img>","<img>","HTML tags start with < and end with >."
q_7340,"Web Development","Which HTML tag is used to create a hyperlink?","<a>","[link]","<invalid>","{code}","<a>","HTML tags start with < and end with >."
q_7341,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","System Design","Data Entry","Gaming","System Design","It is a step in building software."
q_7342,"Hardware","Which of the following is classified as an Input Device?","OCR Device","Plotter","Speaker","Multimedia Projector","OCR Device","Input devices send data INTO the computer."
q_7343,"ICT Applications","The term 'Online Banking' is associated with which field?","Networking","Logic Gates","Data Representation","ICT Applications","ICT Applications","Think about how technology helps society."
q_7344,"ICT Applications","Which of the following is a common application of ICT in modern society?","Smart Agriculture","Pascal Syntax","Binary Logic","CPU Architecture","Smart Agriculture","Think about how technology helps society."
q_7345,"Networking","Which term is related to computer networking?","Printer","Monitor","IP Address","Keyboard","IP Address","It relates to connectivity or web addresses."
q_7346,"Databases","In a database, what does the term 'Field' refer to?","A database structural element","A web browser","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_7347,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Microprocessors (4th Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_7348,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","Photoshop","Disk Defragmenter","MS Word","Disk Defragmenter","Think about managing resources and maintenance."
q_7349,"Web Development","Which HTML tag is used to insert a line break?","<invalid>","[link]","{code}","<br>","<br>","HTML tags start with < and end with >."
q_7350,"Networking","Which term is related to computer networking?","Printer","Cloud Computing","Keyboard","Monitor","Cloud Computing","It relates to connectivity or web addresses."
q_7351,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Phishing","Backup","Phishing","Threats are malicious software or attacks."
q_7352,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_7353,"Operating Systems","Which utility software is essential for system maintenance?","File Compression","Chrome","Photoshop","MS Word","File Compression","Think about managing resources and maintenance."
q_7354,"Logic Gates","Which logic gate performs a Boolean logic operation?","AND","BIOS","SSD","USB","AND","Logic gates operate on TRUE/FALSE values."
q_7355,"Web Development","Which HTML tag is used to define the document body?","<invalid>","<body>","{code}","[link]","<body>","HTML tags start with < and end with >."
q_7356,"Web Development","Which HTML tag is used to define a large heading?","<invalid>","{code}","<h1>","[link]","<h1>","HTML tags start with < and end with >."
q_7357,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Worm","Firewall","Backup","Worm","Threats are malicious software or attacks."
q_7358,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Chrome","Antivirus","MS Word","Antivirus","Think about managing resources and maintenance."
q_7359,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_7360,"Data Representation","Which standard is used for character encoding?","TCP/IP","HTTP","Unicode","HTML","Unicode","It maps characters to numbers."
q_7361,"Hardware","Which of the following is classified as an Input Device?","Scanner","Speaker","Plotter","Laser Printer","Scanner","Input devices send data INTO the computer."
q_7362,"Hardware","Which generation of computers is associated with Microprocessors (4th Gen)?","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Microprocessors (4th Gen)","Input devices send data INTO the computer."
q_7363,"Data Representation","Which storage unit is valid and commonly used?","Pixel","Hertz","Gigabyte (GB)","Volt","Gigabyte (GB)","Think about file sizes (KB, MB, GB)."
q_7364,"Hardware","Which of the following is classified as an Input Device?","Speaker","Scanner","Plotter","Monitor (LED/LCD)","Scanner","Input devices send data INTO the computer."
q_7365,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Traffic Act","Housing Act","Intellectual Property Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_7366,"Databases","In a database, what does the term 'Record' refer to?","A network protocol","A database structural element","A hardware port","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_7367,"Databases","In a database, what does the term 'Report' refer to?","A database structural element","A hardware port","A web browser","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_7368,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Housing Act","Forest Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_7369,"Databases","In a database, what does the term 'Form' refer to?","A database structural element","A hardware port","A web browser","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_7370,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Begin","Login","WiFi","System32","Begin","It is part of Pascal language keywords."
q_7371,"Operating Systems","What is a primary function of an Operating System?","Emailing","Web Browsing","Photo Editing","User Interface","User Interface","Think about managing resources and maintenance."
q_7372,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Deployment","Data Entry","Printing","Gaming","Deployment","It is a step in building software."
q_7373,"Networking","Which term is related to computer networking?","Keyboard","TCP/IP","Printer","Monitor","TCP/IP","It relates to connectivity or web addresses."
q_7374,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","SSD","NOT","USB","NOT","Logic gates operate on TRUE/FALSE values."
q_7375,"Data Representation","Which standard is used for character encoding?","HTML","ASCII","HTTP","TCP/IP","ASCII","It maps characters to numbers."
q_7376,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","Begin","WiFi","Login","System32","Begin","It is part of Pascal language keywords."
q_7377,"Web Development","Which HTML tag is used to define a large heading?","<h1>","<invalid>","[link]","{code}","<h1>","HTML tags start with < and end with >."
q_7378,"ICT Applications","The term 'Tele-medicine' is associated with which field?","Data Representation","ICT Applications","Networking","Logic Gates","ICT Applications","Think about how technology helps society."
q_7379,"Operating Systems","Which utility software is essential for system maintenance?","MS Word","Photoshop","Chrome","File Compression","File Compression","Think about managing resources and maintenance."
q_7380,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Implementation/Coding","Gaming","Data Entry","Printing","Implementation/Coding","It is a step in building software."
q_7381,"ICT Applications","The term 'E-Learning' is associated with which field?","ICT Applications","Data Representation","Networking","Logic Gates","ICT Applications","Think about how technology helps society."
q_7382,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Intellectual Property Act","Forest Act","Housing Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_7383,"Data Representation","Which storage unit is valid and commonly used?","Gigabyte (GB)","Volt","Hertz","Pixel","Gigabyte (GB)","Think about file sizes (KB, MB, GB)."
q_7384,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","System32","Integer","Login","Integer","It is part of Pascal language keywords."
q_7385,"Hardware","Select the device used to send data INTO the computer:","Speaker","Scanner","Plotter","Plotter","Scanner","Input devices send data INTO the computer."
q_7386,"Operating Systems","Which utility software is essential for system maintenance?","Backup Software","MS Word","Chrome","Photoshop","Backup Software","Think about managing resources and maintenance."
q_7387,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Housing Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_7388,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Pixel","Byte","Volt","Byte","Think about file sizes (KB, MB, GB)."
q_7389,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","WiFi","Login","Char","Char","It is part of Pascal language keywords."
q_7390,"Data Representation","Which standard is used for character encoding?","HTML","ASCII","HTTP","TCP/IP","ASCII","It maps characters to numbers."
q_7391,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Maintenance","Data Entry","Printing","Maintenance","It is a step in building software."
q_7392,"ICT Applications","The term 'Online Banking' is associated with which field?","Logic Gates","ICT Applications","Data Representation","Networking","ICT Applications","Think about how technology helps society."
q_7393,"ICT Applications","Which of the following is a common application of ICT in modern society?","CPU Architecture","Robotics in Industry","Binary Logic","Pascal Syntax","Robotics in Industry","Think about how technology helps society."
q_7394,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_7395,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Terabyte (TB)","Pixel","Volt","Terabyte (TB)","Think about file sizes (KB, MB, GB)."
q_7396,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_7397,"Web Development","Which HTML tag is used to create a hyperlink?","<a>","[link]","<invalid>","{code}","<a>","HTML tags start with < and end with >."
q_7398,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","BIOS","SSD","OR","OR","Logic gates operate on TRUE/FALSE values."
q_7399,"Data Representation","Which storage unit is valid and commonly used?","Gigabyte (GB)","Hertz","Pixel","Volt","Gigabyte (GB)","Think about file sizes (KB, MB, GB)."
q_7400,"Data Representation","Which storage unit is valid and commonly used?","Volt","Hertz","Pixel","Bit","Bit","Think about file sizes (KB, MB, GB)."
q_7401,"Databases","In a database, what does the term 'Table' refer to?","A database structural element","A network protocol","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_7402,"Operating Systems","What is a primary function of an Operating System?","File Management","Photo Editing","Emailing","Web Browsing","File Management","Think about managing resources and maintenance."
q_7403,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","OR","BIOS","USB","OR","Logic gates operate on TRUE/FALSE values."
